"MR1","MR2","MR3","MR4"
308354.211944241,133120.222886181,293394.741030409,80450.808533837
-162761.243300912,-360765.307778659,-7819.36736210222,-67059.2985616908
-964657.686833545,-711675.948508347,-768414.579556343,-276681.715552132
1078692.21747858,1127728.33813928,691240.268117855,337491.523681024
-1958014.80864871,-1888351.73182846,-1335039.45828836,-599170.109803146
-2435026.94807418,-2437437.29565984,-1615206.86612329,-752677.85511444
1883583.9319698,1642517.85593066,1372389.52029764,561655.763160877
-79408.7721630576,35461.7400722645,-110858.909760575,-14813.6670840827
-550489.208382366,-618645.918606642,-330929.249321943,-175882.09081564
267960.954290382,280752.023009576,171405.802318418,83888.4106175785
803851.778425875,889909.616944683,490057.122293392,255694.270793193
2532377.054916,2458534.85450345,1718432.1138701,776306.365115255
-94691.6262936402,-297489.359373296,39797.9896114314,-46430.9113724633
1360846.69428706,1279178.72707192,944702.94256855,413615.845045337
-980499.606970487,-1210471.67220868,-534470.187471559,-322464.634567118
NA,NA,NA,NA
-1355890.94374197,-1384183.29554285,-885754.017703911,-421392.645777589
-88486.2625414028,-38748.4593974927,-83916.2704442255,-23134.2957529142
890737.597097446,758313.692343346,658324.342074448,264043.909379348
-1333343.01855141,-1329958.63167966,-886818.165494009,-411744.368454512
90605.2208310226,137477.693234519,36420.1643634263,31965.7673038615
546552.791713892,628809.04330149,321178.851576371,175859.054665112
-405746.384510416,-457809.59353548,-242991.139791659,-129792.754775116
-2134693.50220465,-2081385.14767912,-1444041.78848342,-655151.569243625
708123.154879205,697414.809075259,475489.807191843,217917.803638544
-1575877.38331892,-1548841.48594853,-1059791.82537458,-484691.945330547
925112.392878836,1031500.13913111,560261.303604063,294886.608953413
-826240.819917362,-821522.981939221,-550865.147458926,-254926.215774159
211588.435823893,381659.666289061,54365.7620256139,79783.9475651386
-948916.196512191,-718654.215606408,-746467.925462163,-273741.376034647
-37093.5649447453,450778.177604642,-271574.422182725,29843.5677133288
-2928454.03212169,-2936903.73091446,-1939700.74086199,-905669.612170251
-1305215.89908099,-1377267.13391574,-829961.519937327,-409437.576816058
2367069.56855701,2300055.01245163,1605237.02372007,725800.155625153
241399.2021285,178321.259099425,192177.945911068,69254.2553166548
-1479850.5804652,-1227697.03372325,-1109993.59458667,-435955.292577813
578899.568448989,643414.421946189,351632.206663814,184353.95636428
3415341.08390197,3223013.4569894,2364537.75633321,1039126.4124101
5030219.86866051,5115804.62015934,3295859.96260099,1561689.44239489
-449306.452941773,-374397.997274714,-336176.70875,-132502.180558136
745113.801386382,835476.944008271,448888.676740918,237905.637104603
-750088.003651045,-889248.91931545,-427487.408202535,-243575.710666471
-289879.622850341,-249045.595424007,-213100.084774201,-86120.1271071271
NA,NA,NA,NA
-199361.460421829,-548607.034671076,44440.5541953724,-91176.918745942
1073082.80599148,999547.959008708,749560.813117136,325378.889681563
1315216.48980547,1304835.75264219,878327.347342436,405550.20898008
2795369.18419271,2386748.35001501,2062463.87794566,829229.094293873
469661.021921525,340041.535680142,377382.231663501,134160.986009513
-128651.620087055,-242810.564478676,-27616.8574558475,-49420.4970452362
686705.572244994,506097.938419156,547272.079832816,196914.088092122
118867.796783797,218502.998698525,28473.7088828625,45167.7410129939
3991789.24553906,3801896.85507224,2745964.12426197,1217469.44183133
-115828.397857604,-232449.921279984,-17857.3293677473,-45666.8121217252
1690032.16121729,1645710.0238389,1144316.39237182,518501.311346193
203010.557977619,-197421.908748585,337455.862257431,28832.3615445583
-1610917.23921805,-1757729.86044874,-995047.431480577,-510235.439297846
159429.097342792,-45613.7214067158,209622.541003833,31906.5543646901
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
1140572.23537858,1080179.18466213,787708.752693186,347347.661031017
